Geração 167: Fitnesse Médio= 31896.3421, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 168: Fitnesse Médio= 31527.2300, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 169: Fitnesse Médio= 31683.3844, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 170: Fitnesse Médio= 31789.5685, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 171: Fitnesse Médio= 31739.1660, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 172: Fitnesse Médio= 31535.9576, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 173: Fitnesse Médio= 31713.9868, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 174: Fitnesse Médio= 31481.1214, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 175: Fitnesse Médio= 31526.8160, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 176: Fitnesse Médio= 31767.0620, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 177: Fitnesse Médio= 32049.4008, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 178: Fitnesse Médio= 31644.5764, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 179: Fitnesse Médio= 31838.3060, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 180: Fitnesse Médio= 31873.8775, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 181: Fitnesse Médio= 31636.9700, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 182: Fitnesse Médio= 31664.3006, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 183: Fitnesse Médio= 31849.3037, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 184: Fitnesse Médio= 31953.7698, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 185: Fitnesse Médio= 31824.3532, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 186: Fitnesse Médio= 31786.8243, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 187: Fitnesse Médio= 31716.5046, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 188: Fitnesse Médio= 31906.4390, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 189: Fitnesse Médio= 32005.5011, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 190: Fitnesse Médio= 31579.1891, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 191: Fitnesse Médio= 31917.6078, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 192: Fitnesse Médio= 31729.4467, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 193: Fitnesse Médio= 31929.6686, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 194: Fitnesse Médio= 31925.8453, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 195: Fitnesse Médio= 31597.6680, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 196: Fitnesse Médio= 31844.4465, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 197: Fitnesse Médio= 31680.0099, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 198: Fitnesse Médio= 31702.9416, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 199: Fitnesse Médio= 31656.9821, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 200: Fitnesse Médio= 31871.8669, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
